lon lat depth
-67.00636942675159 -26.27906976744186 60
-67.07006369426752 -26.91860465116279 60
-67.19745222929936 -25.930232558139537 60
-67.38853503184714 -27.151162790697676 60
-67.8343949044586 -27.5 60
-67.89808917197452 -26.046511627906977 60
-67.89808917197452 -27.96511627906977 60
-68.15286624203821 -25.52325581395349 60
-68.34394904458598 -28.19767441860465 60
-68.47133757961784 -25.116279069767444 60
-68.72611464968153 -27.732558139534884 60
-68.98089171974522 -25.116279069767444 60
-69.10828025477707 -27.441860465116278 60
-69.29936305732484 -25.52325581395349 60
-69.49044585987261 -26.27906976744186 60
-69.55414012738854 -26.97674418604651 60
-66.94805194805195 -26.03448275862069 95
-67.01298701298701 -26.781609195402297 95
-67.33766233766234 -27.356321839080458 95
-67.72727272727273 -25.689655172413794 95
-67.79220779220779 -25.17241379310345 95
-67.79220779220779 -27.816091954022987 95
-68.18181818181819 -24.71264367816092 95
-68.44155844155844 -27.643678160919542 95
-68.7012987012987 -25.114942528735632 95
-68.8961038961039 -27.126436781609193 95
-69.0909090909091 -25.689655172413794 95
-69.48051948051948 -26.666666666666668 95
-69.74025974025975 -26.149425287356323 95
-67.40259740259741 -25.952380952380953 130
-67.53246753246754 -26.845238095238095 130
-67.66233766233766 -25.416666666666664 130
-67.66233766233766 -27.261904761904763 130
-67.66233766233766 -27.916666666666664 130
-68.18181818181819 -25.05952380952381 130
-68.31168831168831 -27.797619047619047 130
-68.83116883116884 -27.38095238095238 130
-68.8961038961039 -25.416666666666664 130
-69.35064935064935 -25.892857142857142 130
-69.48051948051948 -27.083333333333332 130
-69.87012987012987 -26.547619047619047 130
-67.01388888888889 -25 165
-67.08333333333333 -25.6 165
-67.08333333333333 -26.133333333333333 165
-67.22222222222223 -26.6 165
-67.63888888888889 -24.53333333333333 165
-67.70833333333333 -27 165
-68.19444444444444 -25.2 165
-68.19444444444444 -27.266666666666666 165
-68.88888888888889 -25.799999999999997 165
-68.95833333333333 -27.333333333333332 165
-69.44444444444444 -26.333333333333332 165
-69.44444444444444 -26.933333333333334 165
-66.80851063829788 -24.125 200
-66.87943262411348 -24.9375 200
-66.87943262411348 -25.8125 200
-67.44680851063829 -26.375 200
-67.51773049645391 -24.1875 200
-67.94326241134752 -24.4375 200
-68.29787234042553 -26.75 200
-68.43971631205673 -24.9375 200
-68.43971631205673 -25.625 200
-68.72340425531915 -26.6875 200
-69.14893617021276 -26 200
-69.36170212765957 -26.5625 200
-66.82758620689656 -24.62962962962963 240
-66.82758620689656 -25.493827160493826 240
-66.89655172413794 -26.17283950617284 240
-66.96551724137932 -24.135802469135804 240
-67.44827586206897 -24.074074074074073 240
-67.44827586206897 -26.604938271604937 240
-68.06896551724138 -24.19753086419753 240
-68.20689655172414 -26.419753086419753 240
-68.34482758620689 -24.62962962962963 240
-68.41379310344827 -25.308641975308642 240
-68.75862068965517 -25.80246913580247 240
-68.75862068965517 -26.666666666666664 240
-69.24137931034483 -26.296296296296298 240
